epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,11263.2,1.02726,0.55298,1.08763,0.89183,0.81379,0.89656,0.53686,1.41081,0.69276,1.31556,0.0010496,0.0010496,0.0010496
74,11417.3,1.02349,0.56257,1.0841,0.90014,0.82069,0.89721,0.53582,1.41623,0.68338,1.31695,0.0010364,0.0010364,0.0010364
75,11571.6,1.02908,0.54675,1.07756,0.88718,0.8,0.88162,0.52814,1.42647,0.68178,1.32081,0.0010232,0.0010232,0.0010232
76,11725.6,1.01673,0.54106,1.08415,0.89477,0.8,0.88741,0.5418,1.38949,0.69428,1.31673,0.00101,0.00101,0.00101
77,11879.7,1.00048,0.53476,1.06449,0.90246,0.82069,0.9039,0.55171,1.4043,0.66433,1.34676,0.0009968,0.0009968,0.0009968
78,12033.7,1.00815,0.52605,1.08759,0.91709,0.83912,0.91593,0.57051,1.31271,0.63122,1.26965,0.0009836,0.0009836,0.0009836
79,12187.7,0.96408,0.51432,1.06203,0.92637,0.86897,0.92046,0.56829,1.30782,0.60463,1.28828,0.0009704,0.0009704,0.0009704
80,12341.9,0.9759,0.51489,1.07488,0.88915,0.86207,0.90536,0.56712,1.29619,0.61916,1.29832,0.0009572,0.0009572,0.0009572
81,12496,0.97614,0.52448,1.07971,0.89992,0.83448,0.89754,0.5576,1.35164,0.66434,1.32985,0.000944,0.000944,0.000944
82,12650.2,0.98785,0.52742,1.06224,0.87253,0.8497,0.90983,0.56433,1.36284,0.65188,1.35673,0.0009308,0.0009308,0.0009308
83,12804.1,0.97446,0.52363,1.05815,0.91548,0.89644,0.93657,0.57793,1.31971,0.61671,1.30999,0.0009176,0.0009176,0.0009176
84,12958.5,0.96055,0.50868,1.04858,0.89434,0.84138,0.90802,0.56071,1.35308,0.63524,1.30367,0.0009044,0.0009044,0.0009044
85,13112.7,0.95206,0.51505,1.04912,0.92534,0.85477,0.90746,0.57286,1.29677,0.60627,1.31486,0.0008912,0.0008912,0.0008912
86,13266.6,0.9578,0.50564,1.05209,0.9048,0.8521,0.91398,0.56277,1.32313,0.606,1.3066,0.000878,0.000878,0.000878
87,13420.6,0.96639,0.49646,1.04858,0.93536,0.89813,0.93641,0.58009,1.30936,0.61245,1.2733,0.0008648,0.0008648,0.0008648
88,13574.7,0.97294,0.52022,1.055,0.90365,0.88966,0.92436,0.57507,1.27788,0.59574,1.28283,0.0008516,0.0008516,0.0008516
89,13728.9,0.94176,0.49081,1.03459,0.90825,0.85517,0.91495,0.56892,1.30939,0.61974,1.30788,0.0008384,0.0008384,0.0008384
90,13882.8,0.93862,0.50677,1.04512,0.91532,0.84138,0.90829,0.56626,1.34343,0.63544,1.31589,0.0008252,0.0008252,0.0008252
91,14036.8,0.90065,0.47182,1.02937,0.92605,0.86362,0.92303,0.58575,1.28836,0.64345,1.33251,0.000812,0.000812,0.000812
92,14191.5,0.91138,0.49101,1.03492,0.88812,0.87589,0.91185,0.57371,1.27541,0.60854,1.31316,0.0007988,0.0007988,0.0007988
93,14345.4,0.90481,0.478,1.02757,0.86824,0.86207,0.89059,0.55284,1.3002,0.61992,1.31499,0.0007856,0.0007856,0.0007856
94,14499.2,0.906,0.47656,1.01193,0.89294,0.86283,0.90152,0.56452,1.27936,0.63269,1.28254,0.0007724,0.0007724,0.0007724
95,14653.4,0.90847,0.48117,1.03376,0.86834,0.86425,0.88862,0.56747,1.3124,0.6414,1.30687,0.0007592,0.0007592,0.0007592
96,14807.6,0.90044,0.47131,1.01473,0.93161,0.8455,0.9156,0.57813,1.2961,0.60344,1.30586,0.000746,0.000746,0.000746
97,14962.3,0.85733,0.46205,1.00934,0.88153,0.88966,0.91705,0.58501,1.2715,0.59014,1.30563,0.0007328,0.0007328,0.0007328
98,15116.3,0.90509,0.45572,1.02863,0.9077,0.90345,0.93173,0.59005,1.29339,0.57271,1.32953,0.0007196,0.0007196,0.0007196
99,15270.5,0.89237,0.46464,1.02555,0.90682,0.86207,0.91037,0.57931,1.36915,0.59201,1.35955,0.0007064,0.0007064,0.0007064
100,15424.8,0.87249,0.47544,1.01508,0.90427,0.84694,0.90007,0.57194,1.29475,0.62181,1.31872,0.0006932,0.0006932,0.0006932
101,15578.7,0.89034,0.46852,1.03927,0.89297,0.86305,0.92853,0.57635,1.36218,0.62247,1.32466,0.00068,0.00068,0.00068
102,15732.8,0.87074,0.46087,1.01016,0.93323,0.86758,0.92842,0.56017,1.39137,0.60493,1.38418,0.0006668,0.0006668,0.0006668
103,15887.3,0.86835,0.46761,1.01743,0.90071,0.8759,0.91613,0.57541,1.30547,0.58859,1.373,0.0006536,0.0006536,0.0006536
104,16041.4,0.86267,0.45601,1.02347,0.89095,0.90157,0.9211,0.59227,1.27051,0.57945,1.32585,0.0006404,0.0006404,0.0006404
105,16195.6,0.83614,0.45659,0.99617,0.89206,0.85517,0.9097,0.59143,1.32278,0.62736,1.32659,0.0006272,0.0006272,0.0006272
106,16349.7,0.85605,0.4652,1.01485,0.86711,0.86897,0.86155,0.5378,1.30659,0.62985,1.31496,0.000614,0.000614,0.000614
107,16503.7,0.8629,0.4571,1.01416,0.91994,0.88966,0.92097,0.56868,1.31127,0.60622,1.31494,0.0006008,0.0006008,0.0006008
108,16657.7,0.84044,0.45108,0.99842,0.94912,0.90058,0.93686,0.58317,1.29444,0.54973,1.31661,0.0005876,0.0005876,0.0005876
109,16812.2,0.85755,0.45027,1.00519,0.90046,0.89655,0.92654,0.58314,1.33147,0.56899,1.33307,0.0005744,0.0005744,0.0005744
110,16966.4,0.81702,0.43633,1.00047,0.90426,0.88966,0.92069,0.59279,1.31013,0.56129,1.31539,0.0005612,0.0005612,0.0005612
111,17120.5,0.86268,0.44445,1.01498,0.88098,0.87586,0.89135,0.57744,1.27452,0.59508,1.31208,0.000548,0.000548,0.000548
112,17274.9,0.84973,0.45053,1.00614,0.85307,0.88966,0.90448,0.56726,1.34467,0.61747,1.33461,0.0005348,0.0005348,0.0005348
113,17428.8,0.85052,0.4405,1.00853,0.89452,0.84138,0.90622,0.5911,1.29028,0.59941,1.32236,0.0005216,0.0005216,0.0005216
114,17582.6,0.81202,0.43199,1.02055,0.91014,0.86207,0.91592,0.5818,1.33399,0.62182,1.3374,0.0005084,0.0005084,0.0005084
115,17736.7,0.84127,0.43451,1.00552,0.87174,0.86897,0.87784,0.54919,1.3318,0.64563,1.3348,0.0004952,0.0004952,0.0004952
116,17891.2,0.8263,0.44352,0.99036,0.85874,0.86897,0.86134,0.52709,1.28976,0.64951,1.32096,0.000482,0.000482,0.000482
117,18045.1,0.82447,0.43411,1.00707,0.90637,0.87586,0.9137,0.57064,1.29586,0.58068,1.3292,0.0004688,0.0004688,0.0004688
118,18199.4,0.80242,0.43196,1.00382,0.89939,0.86311,0.90852,0.57747,1.2765,0.58774,1.31841,0.0004556,0.0004556,0.0004556
119,18353.7,0.8367,0.43303,1.02343,0.90948,0.83154,0.90737,0.56841,1.29785,0.6038,1.33008,0.0004424,0.0004424,0.0004424
120,18507.8,0.80339,0.42726,0.97824,0.89297,0.87586,0.91374,0.57039,1.32813,0.58872,1.31283,0.0004292,0.0004292,0.0004292
121,18661.6,0.80668,0.43373,0.98544,0.89844,0.88966,0.91685,0.57858,1.29256,0.58246,1.2979,0.000416,0.000416,0.000416
122,18815.4,0.80436,0.41932,0.99224,0.88839,0.89655,0.91344,0.58119,1.31172,0.59619,1.31737,0.0004028,0.0004028,0.0004028
123,18969.4,0.78165,0.4104,0.99836,0.88971,0.89015,0.90644,0.57975,1.28215,0.59874,1.2991,0.0003896,0.0003896,0.0003896
124,19123.9,0.82015,0.44645,0.99484,0.9244,0.86897,0.91701,0.58166,1.29612,0.58662,1.30291,0.0003764,0.0003764,0.0003764
125,19278,0.79089,0.43011,0.99572,0.91148,0.84828,0.90725,0.57576,1.27238,0.5998,1.28114,0.0003632,0.0003632,0.0003632
126,19431.9,0.77282,0.4238,0.97534,0.91061,0.84307,0.90384,0.57727,1.32181,0.59721,1.32007,0.00035,0.00035,0.00035
127,19586.1,0.76529,0.40759,0.97764,0.90278,0.86207,0.91063,0.57832,1.28386,0.57419,1.32121,0.0003368,0.0003368,0.0003368
128,19740.1,0.7718,0.41075,0.98073,0.91839,0.85374,0.91539,0.58893,1.26443,0.57612,1.30664,0.0003236,0.0003236,0.0003236
129,19894.1,0.77178,0.40948,0.98827,0.93121,0.84027,0.91398,0.58016,1.3012,0.59384,1.31256,0.0003104,0.0003104,0.0003104
130,20048.2,0.76168,0.40766,0.98242,0.9121,0.85872,0.91921,0.57832,1.29145,0.57786,1.314,0.0002972,0.0002972,0.0002972
131,20202.1,0.75809,0.40044,0.97825,0.84046,0.88966,0.90799,0.57442,1.28816,0.5648,1.30618,0.000284,0.000284,0.000284
132,20355.9,0.7569,0.39557,0.97077,0.89614,0.84828,0.90703,0.5771,1.27956,0.58832,1.31055,0.0002708,0.0002708,0.0002708
133,20510.4,0.74298,0.40184,0.97458,0.87526,0.88966,0.8911,0.57186,1.2566,0.58893,1.30818,0.0002576,0.0002576,0.0002576
134,20664.4,0.74995,0.39383,0.97337,0.88411,0.86897,0.88108,0.55812,1.27714,0.6013,1.31252,0.0002444,0.0002444,0.0002444
135,20818.6,0.75411,0.39475,0.96147,0.88743,0.86207,0.88492,0.56837,1.28521,0.62489,1.32261,0.0002312,0.0002312,0.0002312
136,20973.1,0.75532,0.39615,0.99429,0.90771,0.82759,0.89003,0.5695,1.28448,0.62548,1.32752,0.000218,0.000218,0.000218
137,21127.1,0.75705,0.39525,0.96584,0.89147,0.84971,0.89661,0.57266,1.30521,0.60724,1.33112,0.0002048,0.0002048,0.0002048
138,21281.2,0.75711,0.406,0.97907,0.89938,0.84828,0.90496,0.5871,1.31114,0.59143,1.32893,0.0001916,0.0001916,0.0001916
139,21436,0.72913,0.38416,0.95616,0.91778,0.84678,0.91149,0.58773,1.3078,0.58944,1.32622,0.0001784,0.0001784,0.0001784
140,21590.2,0.74171,0.39485,0.98443,0.89981,0.86713,0.90398,0.587,1.27901,0.5706,1.30757,0.0001652,0.0001652,0.0001652
141,21743.9,0.71051,0.35779,0.97099,0.90856,0.90345,0.92126,0.57725,1.30655,0.55532,1.31985,0.000152,0.000152,0.000152
142,21897.7,0.70309,0.35078,0.96421,0.93271,0.86038,0.91072,0.57904,1.31556,0.55311,1.3352,0.0001388,0.0001388,0.0001388
143,22051.2,0.69634,0.34742,0.95898,0.91159,0.86897,0.91184,0.57782,1.3137,0.55841,1.3256,0.0001256,0.0001256,0.0001256
144,22205.3,0.70556,0.35374,0.95596,0.88528,0.86897,0.9068,0.58271,1.28105,0.5572,1.30839,0.0001124,0.0001124,0.0001124
145,22359.3,0.69964,0.35194,0.95986,0.88603,0.85783,0.90771,0.58214,1.2894,0.56864,1.31555,9.92e-05,9.92e-05,9.92e-05
146,22512.9,0.67756,0.34035,0.94439,0.88193,0.87571,0.90802,0.58461,1.28503,0.57504,1.32129,8.6e-05,8.6e-05,8.6e-05
147,22666.8,0.66271,0.34768,0.94866,0.88306,0.86897,0.90958,0.58246,1.30345,0.55879,1.32956,7.28e-05,7.28e-05,7.28e-05
148,22820.8,0.68356,0.3463,0.96077,0.8846,0.86897,0.91045,0.57841,1.29524,0.56442,1.31878,5.96e-05,5.96e-05,5.96e-05
149,22974.6,0.67472,0.34098,0.94625,0.88914,0.86897,0.91282,0.58412,1.29598,0.57528,1.31976,4.64e-05,4.64e-05,4.64e-05
150,23128.4,0.67122,0.33961,0.94498,0.87542,0.8723,0.90142,0.57401,1.29962,0.60086,1.32444,3.32e-05,3.32e-05,3.32e-05
